Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Forward Checking,8,16,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003993511199951172,28
Backtracking,8,17,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0006558895111083984,28
Forward Checking,8,17,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004277229309082031,28
Backtracking,8,18,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0006291866302490234,28
Forward Checking,8,18,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00041556358337402344,28
Backtracking,8,19,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005052089691162109,28
Forward Checking,8,19,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003418922424316406,28
Backtracking,8,20,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004901885986328125,28
Forward Checking,8,20,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003516674041748047,28
Backtracking,8,21,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005054473876953125,28
Forward Checking,8,21,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00034809112548828125,28
Backtracking,8,22,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005476474761962891,28
Forward Checking,8,22,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003619194030761719,28
Backtracking,8,23,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005826950073242188,28
Forward Checking,8,23,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003829002380371094,28
Backtracking,8,24,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005705356597900391,28
Forward Checking,8,24,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00044846534729003906,28
Backtracking,8,25,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0006306171417236328,28
Forward Checking,8,25,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004436969757080078,28
Backtracking,8,26,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005819797515869141,28
Forward Checking,8,26,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004444122314453125,28
Backtracking,8,27,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005595684051513672,28
Forward Checking,8,27,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003781318664550781,28
Backtracking,8,28,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005409717559814453,28
Forward Checking,8,28,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003795623779296875,28
Backtracking,8,29,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.000545501708984375,28
Forward Checking,8,29,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003871917724609375,28
Backtracking,8,30,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.000545501708984375,28
Forward Checking,8,30,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00038552284240722656,28
Backtracking,10,1,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0006947517395019531,45
Forward Checking,10,1,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00042819976806640625,45
Backtracking,10,2,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007281303405761719,45
Forward Checking,10,2,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004329681396484375,45
Backtracking,10,3,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008661746978759766,45
Forward Checking,10,3,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004799365997314453,45
Backtracking,10,4,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007975101470947266,45
Forward Checking,10,4,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004589557647705078,45
Backtracking,10,5,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007343292236328125,45
Forward Checking,10,5,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.000545501708984375,45
Backtracking,10,6,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0006978511810302734,45
Forward Checking,10,6,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004296302795410156,45
Backtracking,10,7,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007023811340332031,45
Forward Checking,10,7,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00043511390686035156,45
Backtracking,10,8,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0006890296936035156,45
Forward Checking,10,8,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00046563148498535156,45
Backtracking,10,9,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007352828979492188,45
Forward Checking,10,9,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00045299530029296875,45
Backtracking,10,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007395744323730469,45
