Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Hill Climbing,8,7,"[0, 4, 7, 1, 5, 2, 0, 6]",2,False,0.0015919208526611328,3
Simulated Annealing,8,7,"[3, 0, 6, 1, 2, 5, 7, 4]",1,False,0.006546974182128906,688
Genético,8,7,"[4, 2, 0, 6, 1, 7, 5, 3]",0,True,0.04353952407836914,1400
Hill Climbing,8,8,"[3, 5, 0, 2, 4, 6, 1, 3]",1,False,0.001941680908203125,4
Simulated Annealing,8,8,"[6, 4, 2, 0, 5, 3, 1, 7]",1,False,0.0065267086029052734,688
Genético,8,8,"[2, 7, 1, 1, 5, 0, 6, 3]",1,False,3.038531541824341,100000
Hill Climbing,8,9,"[6, 5, 0, 2, 4, 7, 1, 3]",1,False,0.0015690326690673828,3
Simulated Annealing,8,9,"[4, 7, 3, 0, 6, 1, 5, 2]",0,True,0.006027698516845703,623
Genético,8,9,"[1, 6, 4, 7, 0, 3, 5, 2]",0,True,1.0396125316619873,34900
Hill Climbing,8,10,"[1, 3, 6, 3, 7, 2, 4, 2]",2,False,0.001516580581665039,3
Simulated Annealing,8,10,"[7, 3, 0, 2, 5, 1, 6, 4]",0,True,0.00503087043762207,527
Genético,8,10,"[5, 3, 0, 4, 7, 1, 6, 2]",0,True,0.03231406211853027,1100
Hill Climbing,8,11,"[6, 3, 5, 0, 2, 4, 7, 1]",1,False,0.0018875598907470703,4
Simulated Annealing,8,11,"[0, 3, 6, 0, 2, 4, 1, 3]",2,False,0.006501197814941406,688
Genético,8,11,"[5, 2, 0, 7, 3, 1, 6, 4]",0,True,0.035140275955200195,1200
Hill Climbing,8,12,"[3, 1, 6, 2, 5, 7, 4, 0]",0,True,0.00152587890625,4
Simulated Annealing,8,12,"[3, 5, 0, 2, 6, 2, 7, 1]",1,False,0.006482124328613281,688
Genético,8,12,"[1, 7, 5, 0, 2, 4, 6, 3]",0,True,0.04411888122558594,1500
Hill Climbing,8,13,"[0, 7, 4, 1, 5, 2, 5, 3]",1,False,0.001497030258178711,3
Simulated Annealing,8,13,"[4, 2, 0, 5, 3, 1, 3, 7]",1,False,0.0064432621002197266,688
Genético,8,13,"[6, 2, 7, 1, 4, 0, 5, 3]",0,True,0.038425445556640625,1300
Hill Climbing,8,14,"[3, 1, 6, 1, 5, 7, 2, 0]",2,False,0.0015294551849365234,3
Simulated Annealing,8,14,"[7, 4, 0, 5, 3, 1, 6, 2]",1,False,0.006536960601806641,688
Genético,8,14,"[4, 6, 3, 0, 7, 5, 2, 2]",1,False,3.0047554969787598,100000
Hill Climbing,8,15,"[4, 0, 5, 5, 1, 1, 6, 2]",2,False,0.0015091896057128906,3
Simulated Annealing,8,15,"[4, 6, 1, 5, 2, 0, 3, 7]",0,True,0.00557398796081543,581
Genético,8,15,"[5, 3, 6, 0, 7, 1, 4, 2]",0,True,0.9208316802978516,31000
Hill Climbing,8,16,"[1, 5, 2, 6, 3, 7, 0, 4]",1,False,0.0015354156494140625,3
Simulated Annealing,8,16,"[3, 0, 7, 5, 2, 6, 1, 4]",1,False,0.006453990936279297,688
Genético,8,16,"[7, 1, 4, 2, 0, 6, 3, 5]",0,True,0.1266188621520996,4300
Hill Climbing,8,17,"[2, 4, 6, 1, 5, 2, 0, 7]",1,False,0.0019311904907226562,4
Simulated Annealing,8,17,"[6, 0, 4, 2, 5, 3, 1, 7]",2,False,0.006543397903442383,688
Genético,8,17,"[5, 2, 0, 6, 4, 7, 1, 3]",0,True,1.0797452926635742,36100
Hill Climbing,8,18,"[3, 0, 4, 1, 1, 5, 7, 2]",1,False,0.001886129379272461,4
Simulated Annealing,8,18,"[3, 0, 4, 7, 1, 6, 6, 2]",1,False,0.006519317626953125,688
Genético,8,18,"[2, 5, 1, 4, 7, 0, 6, 3]",0,True,0.015923261642456055,500
Hill Climbing,8,19,"[1, 6, 0, 3, 6, 4, 2, 7]",2,False,0.0015578269958496094,3
Simulated Annealing,8,19,"[3, 1, 7, 4, 2, 0, 6, 3]",2,False,0.0067179203033447266,688
